,Model,pixel_acc,iou_macro,iou_weighted,dice_macro,dice_weighted
97,DeepLabV3+ + TTA,0.8220723825937096,0.18255470338166235,0.6964484484113289,0.23335048473847,0.7568404695722107
98,DeepLabV3+ + TTA,0.7291321820354079,0.13339395765845594,0.6285228264069354,0.16265230149389406,0.6847435222203995
99,DeepLabV3+ + TTA,0.8112662721893491,0.099900504113271,0.7553179213644172,0.11512583462225634,0.7876865325973497
100,DeepLabV3+ + TTA,0.8024146691704407,0.1640000811928022,0.7400347502883114,0.20241244051680582,0.7796110909551862
101,DeepLabV3+ + TTA,0.7825408726439654,0.194343764989257,0.7359504926703461,0.23008299857223502,0.7692945439949647
102,DeepLabV3+ + TTA,0.8512625648956147,0.19355083879273394,0.7269284438621542,0.23430563216111688,0.8001357282456492
103,DeepLabV3+ + TTA,0.7790930996714129,0.12722619433757693,0.7329269383835696,0.15699817539467617,0.7768083868662317
104,DeepLabV3+ + TTA,0.7767747609101902,0.23430330065631622,0.6367563005517911,0.2923029464974358,0.7046477803795471
105,DeepLabV3+ + TTA,0.8093410978108487,0.24379605652102887,0.7037013318390519,0.296159270597705,0.776715070703788
106,DeepLabV3+ + TTA,0.8194782994782995,0.13588729277170564,0.7320795909220233,0.17936517318496178,0.7853917782429872
107,DeepLabV3+ + TTA,0.8719374247894104,0.19029796726759424,0.8141784518561231,0.23205445416563641,0.8686462953018831
108,DeepLabV3+ + TTA,0.8012006455083378,0.135998677815858,0.7190399674437917,0.1661625935521689,0.7800770492464775
109,DeepLabV3+ + TTA,0.8655593146349448,0.26666268166420104,0.8102995853984947,0.3288779669854109,0.8765906931077371
110,DeepLabV3+ + TTA,0.8246762749445676,0.18725717575647863,0.7658340301384615,0.23497108681718717,0.8084616470143277
111,DeepLabV3+ + TTA,0.8636940133037694,0.27556351199124646,0.7868212765014574,0.3528979058746298,0.835680113450702
112,DeepLabV3+ + TTA,0.7980661355451272,0.20021637242075746,0.7052821907242366,0.2424881725309523,0.7406759931971096
113,DeepLabV3+ + TTA,0.859971349862259,0.17187172256376776,0.7955935743164407,0.2080809948700493,0.8536815700425395
114,DeepLabV3+ + TTA,0.915609756097561,0.25380420729431624,0.8508898423960741,0.302797961608814,0.9027593745434678
115,DeepLabV3+ + TTA,0.7940405270734138,0.12989206077270304,0.6932266519974838,0.16175831526249596,0.7455676893669922
116,DeepLabV3+ + TTA,0.8215467784642542,0.12887032929193765,0.696027600762143,0.15477559181328385,0.7608335556015728
117,DeepLabV3+ + TTA,0.7591854024112089,0.15794357567435277,0.6471756154263316,0.18886438460060584,0.7200089456772027
118,DeepLabV3+ + TTA,0.87170359052712,0.19856482908736087,0.8042638259900446,0.24208338316236566,0.868116928431437
119,DeepLabV3+ + TTA,0.7674874041621029,0.08914928936078001,0.6899085752912828,0.10724895632633606,0.7300839541613551
120,DeepLabV3+ + TTA,0.8723838872991415,0.17489304475956263,0.8122558352933588,0.2125020269437252,0.8630241258586181
121,DeepLabV3+ + TTA,0.841545129483151,0.2517943269847045,0.7464880868419016,0.30701420103031013,0.8027697249787062
122,DeepLabV3+ + TTA,0.8183726150392817,0.13578441266710392,0.7115596673799875,0.17472277631104968,0.7806869644140819
123,DeepLabV3+ + TTA,0.9323631923631923,0.43655788711203397,0.8839851596333428,0.5164231662177212,0.9270333501021766
124,DeepLabV3+ + TTA,0.8270055392636038,0.2040428822012468,0.7406472562857559,0.25097204191435696,0.7947796970553452
125,DeepLabV3+ + TTA,0.8955324074074074,0.23502409512763184,0.828364184343877,0.28290753431785076,0.8717985891154783
126,DeepLabV3+ + TTA,0.8362955643390426,0.1690411622912162,0.7549622365989647,0.20548718462829318,0.8379119797398484
127,DeepLabV3+ + TTA,0.9048851269649335,0.2736735368539065,0.8493175312539653,0.3281974721046336,0.9038923441530196
128,DeepLabV3+ + TTA,0.9003388725969371,0.25750933949789967,0.830087093956074,0.29772847930646457,0.8717757680657223
129,DeepLabV3+ + TTA,0.7861777877295119,0.18404756987073012,0.760770765509396,0.21171485626142905,0.7756023615229327
130,DeepLabV3+ + TTA,0.8701098901098901,0.22957233461524504,0.8181733473686901,0.26972560004038876,0.8741353595823934
131,DeepLabV3+ + TTA,0.7848278905560458,0.10201510504455003,0.7036424706930126,0.12520065714814715,0.7491615943817331
132,DeepLabV3+ + TTA,0.8464043091128943,0.19679981422027534,0.7980193073577351,0.23409805715687293,0.8496095638931627
133,DeepLabV3+ + TTA,0.8187893252332393,0.1901369764496097,0.7576447629507996,0.24314247150404467,0.8060566386505302
134,DeepLabV3+ + TTA,0.9070126694821071,0.19299939191336937,0.8602256483912787,0.22619085344101586,0.8973274915295135
135,DeepLabV3+ + TTA,0.851609917355372,0.13220423543042675,0.8065186757267526,0.16273202929671932,0.8319275474736061
136,DeepLabV3+ + TTA,0.802710499832271,0.09919239828303211,0.7234914577060256,0.12170105982358821,0.770493771146627
137,DeepLabV3+ + TTA,0.8549763658348907,0.20829367124703158,0.7743917119784273,0.2610001502546784,0.8313925964630675
138,DeepLabV3+ + TTA,0.7861267217630854,0.10269294229867208,0.7220127866783977,0.1225155003059524,0.7628899226555798
139,DeepLabV3+ + TTA,0.8963722025912839,0.1943758746255138,0.8328356859055621,0.23268303374296634,0.8908607659482131
140,DeepLabV3+ + TTA,0.8510104683195592,0.1689472425826035,0.7877424706598598,0.2079523510626746,0.8341071527164521
141,DeepLabV3+ + TTA,0.8134910442717134,0.11682436078996263,0.7108008123598762,0.14505725277758444,0.7691530981496639
142,DeepLabV3+ + TTA,0.8752767527675277,0.21349498491435145,0.7939205569649304,0.2518780825601006,0.8501976127910136
143,DeepLabV3+ + TTA,0.7812216944659229,0.12011701163400686,0.650934958633306,0.1556916115854465,0.7159871412555808
144,DeepLabV3+ + TTA,0.8629064526767066,0.18236206761191046,0.7909891632732133,0.22246137102880278,0.8301270499339984
145,DeepLabV3+ + TTA,0.8177404479578393,0.13041665371072936,0.7029935704696385,0.16096810734535297,0.7675905726662261
146,DeepLabV3+ + TTA,0.8464572192513369,0.14609786691744397,0.7970080473876725,0.16076012550496,0.8250565141969903
147,DeepLabV3+ + TTA,0.7491341991341991,0.13579048643171918,0.6409430477419583,0.16641578520808112,0.6956734254176185
148,DeepLabV3+ + TTA,0.8233157663592446,0.19180738247954246,0.7575443133148035,0.2371384940674167,0.809796258688533
149,DeepLabV3+ + TTA,0.7690732995817742,0.10421133426542942,0.6596494542571553,0.13015501878008745,0.7111318402049106
150,DeepLabV3+ + TTA,0.8245113773771573,0.13902559198662365,0.7751099086879074,0.16388015641382506,0.8039392299380288
151,DeepLabV3+ + TTA,0.8567857142857143,0.12321936883194491,0.801963449868409,0.1392348176331389,0.8379591298470892
152,DeepLabV3+ + TTA,0.8508390766874522,0.1878544031960937,0.7815876916692638,0.23007365412033431,0.8179075041900602
153,DeepLabV3+ + TTA,0.7999422459893049,0.21655242325280535,0.7555909062622691,0.27324431461745335,0.8003719934061017
