,Model,pixel_acc,iou_macro,iou_weighted,dice_macro,dice_weighted
38,DeepLabV3+ + TTA,0.8398704435660957,0.12151117399215725,0.8069700580083345,0.13691986773546744,0.8280698270653942
39,DeepLabV3+ + TTA,0.8639537190082645,0.1826656043706755,0.8308156018322126,0.22482439625729456,0.8661510869270179
40,DeepLabV3+ + TTA,0.8295153703095941,0.1508582533252626,0.8001723109156912,0.1720430450969407,0.8204352043786365
41,DeepLabV3+ + TTA,0.8731451701126791,0.2044969741825597,0.8389462500385363,0.25620016365134657,0.8773848636346466
42,DeepLabV3+ + TTA,0.9017227217227217,0.23425599242519202,0.8522126583990279,0.27921031860653783,0.8868077783189798
43,DeepLabV3+ + TTA,0.8658789990497308,0.21736705907936682,0.8079232942544595,0.2625236514546618,0.8463095929777564
44,DeepLabV3+ + TTA,0.868035616137188,0.1971067863620093,0.836325498768369,0.2319849143658619,0.8768076537610366
45,DeepLabV3+ + TTA,0.802137741046832,0.14637012626527876,0.761631603061779,0.17069853069003377,0.7864287848300195
46,DeepLabV3+ + TTA,0.8329603165878862,0.19237033321783947,0.8079007413775816,0.22529457536054856,0.8242872190083934
47,DeepLabV3+ + TTA,0.8470496632996632,0.18041716274475567,0.8112137460354382,0.22227544085878648,0.8531136880754939
48,DeepLabV3+ + TTA,0.9106136635168893,0.25786727128665676,0.8797917076801636,0.3095819395490215,0.9224224790285116
49,DeepLabV3+ + TTA,0.8787400706090026,0.21192586398536847,0.8117135477781475,0.26750910883234713,0.8659817023853849
50,DeepLabV3+ + TTA,0.8774695863746959,0.20923409441655155,0.8385966717958684,0.25091976019463147,0.8792894034341626
51,DeepLabV3+ + TTA,0.7849117712754077,0.11204756832826648,0.7507304764489863,0.1401954831365954,0.7844298665100707
52,DeepLabV3+ + TTA,0.8838020545675467,0.22709836707343473,0.8318041129875325,0.2686812453982849,0.8706326182911986
53,DeepLabV3+ + TTA,0.7839982967851821,0.1466922914183117,0.7347736490961901,0.1900225396999957,0.7839020566305884
54,DeepLabV3+ + TTA,0.8449163111256974,0.2114238925217852,0.8075953057252634,0.2643362282104376,0.863765050266989
55,DeepLabV3+ + TTA,0.8140212742625288,0.09207397508616846,0.786215458552074,0.11297385106744118,0.8174675874331062
56,DeepLabV3+ + TTA,0.888887461184281,0.17648375657944712,0.8341087303095428,0.21559628630506394,0.8707867123152836
57,DeepLabV3+ + TTA,0.8403944903581267,0.10422432835496723,0.7985245865562816,0.1232350926943327,0.8300063555050703
58,DeepLabV3+ + TTA,0.8425520661157024,0.2290686480386224,0.7980849562246065,0.2734625317268496,0.8365321334449382
59,DeepLabV3+ + TTA,0.8138155905851868,0.2095162978005008,0.7849732681681646,0.2562776328469805,0.8070813076924801
60,DeepLabV3+ + TTA,0.8318864449019395,0.17374908622283378,0.8062339818184652,0.21501698234034755,0.823178293158112
61,DeepLabV3+ + TTA,0.8387279228518799,0.22631403822428892,0.8042333126991555,0.29926937978987767,0.8554891605341327
62,DeepLabV3+ + TTA,0.8433318834275773,0.21874929980124747,0.8127244417822177,0.26292175909259674,0.8411837936971074
63,DeepLabV3+ + TTA,0.8783130948473908,0.17750523724171988,0.8326491847673312,0.21277776088295983,0.8627950322057885
64,DeepLabV3+ + TTA,0.8704716668507677,0.2184585820229043,0.8427416640554295,0.2516849186784474,0.8825587383429753
65,DeepLabV3+ + TTA,0.8317262761598937,0.1763200890465957,0.7897747267668249,0.22109804561262797,0.8398156115541305
66,DeepLabV3+ + TTA,0.8234552082182702,0.15880422665267074,0.7907785691438007,0.19418394944963008,0.8305357792164458
67,DeepLabV3+ + TTA,0.6942136531778949,0.09981837300835557,0.6590995442685073,0.12948433990583097,0.7056788054446435
68,DeepLabV3+ + TTA,0.87267217630854,0.23270083706418987,0.8420281253404304,0.28146629478194324,0.8830342001098221
